iter	Logloss
0	0.6832447194
1	0.6724281035
2	0.6639027348
3	0.6553193493
4	0.6472977612
5	0.6392817289
6	0.6317402179
7	0.6254023479
8	0.6185832417
9	0.6120200443
10	0.6040054115
11	0.5969547188
12	0.5897497586
13	0.5840778992
14	0.5789142091
15	0.5733082944
16	0.5667521179
17	0.5627009058
18	0.5579874787
19	0.5513796956
20	0.5474900508
21	0.5438832294
22	0.5392072483
23	0.5337560865
24	0.5290127335
25	0.5240185957
26	0.5198343682
27	0.5154000336
28	0.5120420541
29	0.5080924019
30	0.5034505968
31	0.4997284755
32	0.4963630868
33	0.4922534634
34	0.488629922
35	0.4859672979
36	0.4829816245
37	0.4802784303
38	0.4783777905
39	0.4755261613
40	0.4735840249
41	0.4704301399
42	0.4677727158
43	0.4653633633
44	0.4631954325
45	0.4604874938
46	0.4583320733
47	0.4558677917
48	0.45465669
49	0.4524906908
50	0.4503470673
51	0.4479206734
52	0.4458245424
53	0.4449086929
54	0.4431693699
55	0.4417191463
56	0.4398758935
57	0.4385897571
58	0.4377695299
59	0.4361693803
60	0.4356313085
61	0.4351723383
62	0.4341903315
63	0.4329971496
64	0.431633766
65	0.4306957821
66	0.4297167054
67	0.4284808865
68	0.4274449323
69	0.4260153932
70	0.4251912447
71	0.4236132404
72	0.4229078215
73	0.421657789
74	0.4206839253
75	0.4194431994
76	0.419023971
77	0.4180839534
78	0.4175143394
79	0.4165926967
80	0.4151192902
81	0.4139837679
82	0.4135551469
83	0.412387808
84	0.4109170108
85	0.4099641866
86	0.4086212703
87	0.4075819079
88	0.4069499946
89	0.4064319812
90	0.4054316789
91	0.4047452703
92	0.4040629097
93	0.4031950767
94	0.4023833257
95	0.4012930791
96	0.4009573306
97	0.4004508243
98	0.399478362
99	0.3986075964
100	0.3977223734
101	0.397144209
102	0.3967553174
103	0.3964611894
104	0.3954424862
105	0.3947626875
106	0.3945605396
107	0.3935495739
108	0.3929607558
109	0.3921426691
110	0.3915941466
111	0.3912298959
112	0.3906689598
113	0.3903476745
114	0.3897285756
115	0.3893824014
116	0.3888391811
117	0.3881912608
118	0.3878908258
119	0.3877130237
120	0.3874317756
121	0.3870645256
122	0.3864815512
123	0.3858477836
124	0.3854893413
125	0.3849687401
126	0.3847194779
127	0.384004726
128	0.3837919604
129	0.3834200623
130	0.3831221154
131	0.3829275463
132	0.3823433267
133	0.3817787469
134	0.3812346208
135	0.3809259144
136	0.3805919118
137	0.3801564879
138	0.3795905839
139	0.3793921164
140	0.3790559788
141	0.3787135685
142	0.3781357089
143	0.3778016065
144	0.3775283998
145	0.3769278887
146	0.3766830349
147	0.376305291
148	0.3759357513
149	0.375422134
150	0.3752074216
151	0.3749093953
152	0.3746247489
153	0.3742753863
154	0.3740429395
155	0.3737552606
156	0.3731757569
157	0.3728644066
158	0.3726324227
159	0.3719821422
160	0.371827929
161	0.3714438385
162	0.3711225199
163	0.3708291236
164	0.370426463
165	0.3699561908
166	0.3697079036
167	0.369558602
168	0.3688858318
169	0.3686601723
170	0.3683400299
171	0.368188885
172	0.367801887
173	0.3674819458
174	0.3670404864
175	0.3669959096
176	0.3664746292
177	0.3663224852
178	0.36608079
179	0.3660103378
180	0.3658870725
181	0.365568563
182	0.3649597986
183	0.3645898541
184	0.3643624301
185	0.3640763749
186	0.3638990559
187	0.3631898299
188	0.3629145973
189	0.3624933288
190	0.3620439977
191	0.3618702463
192	0.3615636904
193	0.3611386849
194	0.361044094
195	0.3609435443
196	0.360626903
197	0.3605381806
198	0.3601944213
199	0.3600383709
200	0.3598529124
201	0.359508384
202	0.3594069615
203	0.3592336201
204	0.3590435225
205	0.3589177291
206	0.3588279945
207	0.3583686179
208	0.3580707808
209	0.3579215054
210	0.3575273976
211	0.3574585713
212	0.3570028255
213	0.3568421938
214	0.3566205156
215	0.3566054205
216	0.3563125303
217	0.3557813911
218	0.3557410831
219	0.3556139863
220	0.3555005866
221	0.3553620176
222	0.3552810796
223	0.3551783419
224	0.354980738
225	0.35489337
226	0.3545038146
227	0.3544225472
228	0.3542370752
229	0.353790016
230	0.3533889503
231	0.3532268035
232	0.3529545655
233	0.3525102798
234	0.3524672512
235	0.3522846797
236	0.3521644466
237	0.351907238
238	0.3518141308
239	0.3515276626
240	0.3512901376
241	0.351163511
242	0.3508130969
243	0.3505889053
244	0.3505093965
245	0.3501520023
246	0.3499511052
247	0.3497745667
248	0.3496583661
249	0.3495646735
250	0.3494124583
251	0.3493674395
252	0.34923494
253	0.3491143135
254	0.3487932388
255	0.348636178
256	0.3485044428
257	0.3484195573
258	0.348074483
259	0.3478004221
260	0.347537328
261	0.3474895
262	0.3472749487
263	0.3469474118
264	0.3467570124
265	0.3465201706
266	0.3465018069
267	0.3464323154
268	0.3463673645
269	0.3462964933
270	0.3461805495
271	0.3460891201
272	0.3459806666
273	0.3459710593
274	0.3459087278
275	0.3458636374
276	0.3457297736
277	0.3454320927
278	0.3450655731
279	0.3449841586
280	0.3448273013
281	0.3447295438
282	0.3444974952
283	0.3443653122
284	0.3442369317
285	0.3441448047
286	0.3441033303
287	0.3440337893
288	0.3438666084
289	0.3438009806
290	0.3437394932
291	0.3436734566
292	0.3433827984
293	0.343316476
294	0.3433008668
295	0.3431917167
296	0.3431500523
297	0.3431360263
298	0.3429990921
299	0.3429676098
300	0.342912513
301	0.3427932405
302	0.342482718
303	0.3422463671
304	0.3421733725
305	0.3420884608
306	0.3419782499
307	0.3418265633
308	0.3418069141
309	0.3417344927
310	0.3415808557
311	0.3412440061
312	0.3412360201
313	0.3410336552
314	0.3409979873
315	0.340956131
316	0.3408467292
317	0.3408097779
318	0.3405157932
319	0.3403780918
320	0.3403091368
321	0.3402137164
322	0.3401953338
323	0.340034105
324	0.3398561749
325	0.339790436
326	0.3395477352
327	0.3394807828
328	0.33944334
329	0.3394062647
330	0.3392926514
331	0.3392697796
332	0.3392008826
333	0.3391357851
334	0.3388021838
335	0.3385581398
336	0.3383506007
337	0.3381137297
338	0.3377797803
339	0.3377607445
340	0.337577855
341	0.3374525386
342	0.3372481211
343	0.3370799865
344	0.3370741599
345	0.3370050071
346	0.3369266674
347	0.3369053163
348	0.3366834684
349	0.3365006297
350	0.3364532743
351	0.3361636576
352	0.3361372719
353	0.3359825621
354	0.3359663932
355	0.3358912254
356	0.3358202855
357	0.3356884841
358	0.3356864792
359	0.3354604153
360	0.3353650817
361	0.3353044342
362	0.3352981839
363	0.3349954568
364	0.3349870918
365	0.3348981481
366	0.3348495451
367	0.334840241
368	0.3347896387
369	0.33471686
370	0.3346294949
371	0.3345108661
372	0.3342650325
373	0.3341254702
374	0.3340270171
375	0.3338287818
376	0.333703005
377	0.3336892879
378	0.3336099144
379	0.3335297257
380	0.3333754521
381	0.3331361476
382	0.3330696826
383	0.3330422111
384	0.3327436591
385	0.3326792429
386	0.3326779683
387	0.3325381612
388	0.3325000324
389	0.3324449446
390	0.3323972908
391	0.3323130908
392	0.3322443563
393	0.3322266887
394	0.3319917413
395	0.3319486981
396	0.3318583198
397	0.3318231013
398	0.3316156606
399	0.3316155048
400	0.331467327
401	0.3312587477
402	0.3311062715
403	0.3309236616
404	0.3308266191
405	0.3307639424
406	0.3307205311
407	0.3307072165
408	0.330668183
409	0.3305462457
410	0.3304708682
411	0.3302337733
412	0.330025258
413	0.3300024017
414	0.3299598662
415	0.3298918971
416	0.329874646
417	0.3298459501
418	0.3298405932
419	0.3298227621
420	0.3297983811
421	0.3294852959
422	0.3294206867
423	0.3294145584
424	0.329349051
425	0.3292515267
426	0.3291302014
427	0.3289749507
428	0.3289630505
429	0.3289235104
430	0.328831514
431	0.3287831906
432	0.3287168794
433	0.32859388
434	0.3285835048
435	0.3281241886
436	0.3281145563
437	0.3279250815
438	0.327851523
439	0.3275548462
440	0.3275438567
441	0.3275325054
442	0.3275202211
443	0.3274641307
444	0.3274485787
445	0.327371691
446	0.3272576648
447	0.3269531995
448	0.32687427
449	0.3267242682
450	0.3266517355
451	0.326588151
452	0.3265228135
453	0.3264460808
454	0.326389298
455	0.326228875
456	0.3262172308
457	0.326047679
458	0.3260229294
459	0.325785472
460	0.3256484424
461	0.3255951033
462	0.3253913539
463	0.3252643876
464	0.325159374
465	0.3249799469
466	0.3248545712
467	0.3246911227
468	0.3245935867
469	0.3245802645
470	0.3245642464
471	0.3245383049
472	0.3245003393
473	0.3244392678
474	0.3244031189
475	0.3241512354
476	0.3239875946
477	0.3239017434
478	0.3238336486
479	0.3234750488
480	0.3234238881
481	0.3232174011
482	0.3230369562
483	0.322868129
484	0.3226886566
485	0.3226273386
